RecordId , DateTime , Site , ButterflyCount , Lat , Lon , WalkStage
65, 11/2/2017 11:01:00 AM, Argyle Square, 0, -37.8024, 144.9663,"1_1_2"
66, 11/2/2017 11:01:00 AM, Argyle Square, 0, -37.8024, 144.9663,"2_1_2"
67, 11/2/2017 11:01:00 AM, Argyle Square, 0, -37.8024, 144.9663,"3_1_2"
68, 11/2/2017 11:01:00 AM, Argyle Square, 0, -37.8024, 144.9663,"4_1_2"
69, 11/2/2017 11:04:00 AM, Argyle Square, 0, -37.8023, 144.9664,"1_1_2"
70, 11/2/2017 11:04:00 AM, Argyle Square, 0, -37.8023, 144.9664,"2_1_2"
71, 11/2/2017 11:04:00 AM, Argyle Square, 0, -37.8023, 144.9664,"3_1_2"
72, 11/2/2017 11:04:00 AM, Argyle Square, 0, -37.8023, 144.9664,"4_1_2"
73, 11/2/2017 11:18:00 AM, Argyle Square, 0, -37.8024, 144.9663,"1_1_2"
74, 11/2/2017 11:18:00 AM, Argyle Square, 0, -37.8024, 144.9663,"2_1_2"
75, 11/2/2017 11:18:00 AM, Argyle Square, 0, -37.8024, 144.9663,"3_1_2"
76, 11/2/2017 11:18:00 AM, Argyle Square, 0, -37.8024, 144.9663,"4_1_2"
77, 11/2/2017 11:31:00 AM, Argyle Square, 0, -37.8024, 144.9663,"1_1_2"
78, 11/2/2017 11:31:00 AM, Argyle Square, 0, -37.8024, 144.9663,"2_1_2"
79, 11/2/2017 11:31:00 AM, Argyle Square, 0, -37.8024, 144.9663,"3_1_2"
80, 11/2/2017 11:31:00 AM, Argyle Square, 0, -37.8024, 144.9663,"4_1_2"
81, 11/2/2017 11:35:00 AM, Argyle Square, 0, -37.8023, 144.9664,"1_1_2"
82, 11/2/2017 11:35:00 AM, Argyle Square, 0, -37.8023, 144.9664,"2_1_2"
83, 11/2/2017 11:35:00 AM, Argyle Square, 0, -37.8023, 144.9664,"3_1_2"
84, 11/2/2017 11:35:00 AM, Argyle Square, 0, -37.8023, 144.9664,"4_1_2"
85, 11/2/2017 11:48:00 AM, Argyle Square, 1, -37.8025, 144.9663,"1_1_2"
86, 11/2/2017 11:48:00 AM, Argyle Square, 0, -37.8025, 144.9663,"2_1_2"
87, 11/2/2017 11:48:00 AM, Argyle Square, 0, -37.8025, 144.9663,"3_1_2"
88, 11/2/2017 11:48:00 AM, Argyle Square, 0, -37.8025, 144.9663,"4_1_2"
89, 11/2/2017 12:09:00 PM, Argyle Square, 2, -37.8026, 144.9662,"1_1_2"
90, 11/2/2017 12:09:00 PM, Argyle Square, 0, -37.8026, 144.9662,"2_1_2"
91, 11/2/2017 12:09:00 PM, Argyle Square, 0, -37.8026, 144.9662,"3_1_2"
92, 11/2/2017 12:09:00 PM, Argyle Square, 0, -37.8026, 144.9662,"4_1_2"
93, 11/2/2017 12:13:00 PM, Argyle Square, 1, -37.8026, 144.9662,"1_1_2"
94, 11/2/2017 12:13:00 PM, Argyle Square, 0, -37.8026, 144.9662,"2_1_2"
95, 11/2/2017 12:13:00 PM, Argyle Square, 0, -37.8026, 144.9662,"3_1_2"
96, 11/2/2017 12:13:00 PM, Argyle Square, 0, -37.8026, 144.9662,"4_1_2"
97, 11/2/2017 12:17:00 PM, Argyle Square, 1, -37.8024, 144.9663,"1_1_2"
98, 11/2/2017 12:17:00 PM, Argyle Square, 0, -37.8024, 144.9663,"2_1_2"
99, 11/2/2017 12:17:00 PM, Argyle Square, 0, -37.8024, 144.9663,"3_1_2"
100, 11/2/2017 12:17:00 PM, Argyle Square, 0, -37.8024, 144.9663,"4_1_2"
101, 11/2/2017 12:23:00 PM, Argyle Square, 2, -37.8026, 144.9664,"1_1_2"
102, 11/2/2017 12:23:00 PM, Argyle Square, 0, -37.8026, 144.9664,"2_1_2"
103, 11/2/2017 12:23:00 PM, Argyle Square, 0, -37.8026, 144.9664,"3_1_2"
104, 11/2/2017 12:23:00 PM, Argyle Square, 0, -37.8026, 144.9664,"4_1_2"
105, 11/2/2017 12:27:00 PM, Argyle Square, 0, -37.8026, 144.9664,"1_1_2"
106, 11/2/2017 12:27:00 PM, Argyle Square, 0, -37.8026, 144.9664,"2_1_2"
107, 11/2/2017 12:27:00 PM, Argyle Square, 0, -37.8026, 144.9664,"3_1_2"
108, 11/2/2017 12:27:00 PM, Argyle Square, 0, -37.8026, 144.9664,"4_1_2"
109, 11/2/2017 1:37:00 PM, Argyle Square, 0, -37.8027, 144.9667,"1_1_2"
110, 11/2/2017 1:37:00 PM, Argyle Square, 0, -37.8027, 144.9667,"2_1_2"
111, 11/2/2017 1:37:00 PM, Argyle Square, 0, -37.8027, 144.9667,"3_1_2"
112, 11/2/2017 1:37:00 PM, Argyle Square, 0, -37.8027, 144.9667,"4_1_2"
113, 11/2/2017 1:43:00 PM, Argyle Square, 0, -37.8028, 144.9663,"1_1_2"
114, 11/2/2017 1:43:00 PM, Argyle Square, 0, -37.8028, 144.9663,"2_1_2"
115, 11/2/2017 1:43:00 PM, Argyle Square, 0, -37.8028, 144.9663,"3_1_2"
116, 11/2/2017 1:43:00 PM, Argyle Square, 0, -37.8028, 144.9663,"4_1_2"
117, 11/2/2017 2:06:00 PM, Argyle Square, 0, -37.8027, 144.9664,"1_1_2"
118, 11/2/2017 2:06:00 PM, Argyle Square, 0, -37.8027, 144.9664,"2_1_2"
119, 11/2/2017 2:06:00 PM, Argyle Square, 0, -37.8027, 144.9664,"3_1_2"
120, 11/2/2017 2:06:00 PM, Argyle Square, 0, -37.8027, 144.9664,"4_1_2"
121, 12/1/2017 5:20:00 PM, Argyle Square, 0, -37.8023, 144.9663,"1_1_2"
122, 12/1/2017 5:20:00 PM, Argyle Square, 0, -37.8023, 144.9663,"2_1_2"
123, 12/1/2017 5:20:00 PM, Argyle Square, 0, -37.8023, 144.9663,"3_1_2"
124, 12/1/2017 5:20:00 PM, Argyle Square, 0, -37.8023, 144.9663,"4_1_2"
